Data,dia,mes,ano,Temperatura_media,Temperatura_maxima,Temperatura_minima,Probabilidade_chuva_max,Velocidade_vento_max,Chuva_total,Direcao_vento,estado
2026-06-01,1,6,2026,15.3,20.2,13.1,0,11.3,0.0,Sudeste,SP
2026-06-02,2,6,2026,14.8,20.1,11.3,0,12.0,0.0,Sudeste,SP
2026-06-03,3,6,2026,16.6,22.0,14.1,2,12.4,0.0,Sudeste,SP
2026-06-04,4,6,2026,16.8,22.4,14.0,0,12.7,0.0,Leste,SP
2026-06-05,5,6,2026,15.6,21.1,11.5,0,11.4,0.0,Leste,SP
2026-06-06,6,6,2026,16.1,22.5,11.5,0,10.6,0.0,Noroeste,SP
2026-06-07,7,6,2026,16.4,22.8,10.3,0,6.6,0.0,Noroeste,SP
2026-06-08,8,6,2026,16.6,23.7,9.2,0,10.5,0.0,Norte,SP
2026-06-09,9,6,2026,17.5,23.6,11.4,0,12.8,0.0,Noroeste,SP
2026-06-10,10,6,2026,17.6,24.5,12.0,85,10.2,0.4,Noroeste,SP
2026-06-11,11,6,2026,16.8,19.0,15.1,100,11.9,10.7,Noroeste,SP
2026-06-12,12,6,2026,16.6,19.9,14.3,100,23.0,2.1,Norte,SP
2026-06-13,13,6,2026,18.1,22.0,15.4,100,19.9,0.7,Noroeste,SP
2026-06-14,14,6,2026,18.4,21.7,15.8,37,15.4,1.3,Noroeste,SP
2026-06-15,15,6,2026,16.0,17.1,14.4,100,9.5,9.7,Sul,SP
2026-06-16,16,6,2026,15.1,17.6,13.8,63,9.0,0.8,Sul,SP
2026-06-17,17,6,2026,14.2,18.9,10.0,0,9.7,0.0,Sudeste,SP
2026-06-18,18,6,2026,13.1,18.2,9.6,0,11.1,0.0,Sudeste,SP
2026-06-19,19,6,2026,15.0,23.3,9.6,0,14.1,0.0,Nordeste,SP
2026-06-20,20,6,2026,17.7,22.8,13.4,100,16.3,1.6,Norte,SP
2026-06-21,21,6,2026,16.0,20.4,11.4,100,12.7,3.7,Oeste,SP
2026-06-22,22,6,2026,16.9,25.1,10.9,0,15.3,0.0,Norte,SP
2026-06-23,23,6,2026,18.1,20.8,13.9,100,16.4,11.7,Noroeste,SP
2026-06-24,24,6,2026,13.0,14.9,12.0,100,7.0,13.3,Sudeste,SP
