Data,dia,mes,ano,Temperatura_media,Temperatura_maxima,Temperatura_minima,Probabilidade_chuva_max,Velocidade_vento_max,Chuva_total,Direcao_vento,estado
2023-06-01,1,6,2023,16.2,20.0,14.1,,11.4,1.1,Sul,SP
2023-06-02,2,6,2023,15.5,20.0,13.3,,13.0,0.0,Leste,SP
2023-06-03,3,6,2023,16.3,22.6,12.8,,13.8,0.0,Leste,SP
2023-06-04,4,6,2023,15.5,22.6,8.0,,10.7,0.0,Noroeste,SP
2023-06-05,5,6,2023,15.7,21.5,11.5,,14.7,0.0,Sul,SP
2023-06-06,6,6,2023,14.7,20.3,11.2,,11.8,0.0,Leste,SP
2023-06-07,7,6,2023,15.3,22.4,10.9,,11.2,0.0,Norte,SP
2023-06-08,8,6,2023,15.3,22.5,9.5,,7.1,0.0,Norte,SP
2023-06-09,9,6,2023,16.0,23.6,9.4,,17.7,0.0,Norte,SP
2023-06-10,10,6,2023,17.2,23.9,11.8,,20.4,0.0,Noroeste,SP
2023-06-11,11,6,2023,18.7,25.4,14.4,,26.6,0.0,Noroeste,SP
2023-06-12,12,6,2023,18.2,26.0,13.0,,21.2,0.0,Oeste,SP
2023-06-13,13,6,2023,16.0,16.9,15.3,,20.5,1.2,Sul,SP
2023-06-14,14,6,2023,15.7,17.7,14.9,,14.6,13.9,Sul,SP
2023-06-15,15,6,2023,15.6,17.0,13.9,,17.3,12.8,Noroeste,SP
2023-06-16,16,6,2023,13.9,15.9,12.0,,25.0,0.0,Noroeste,SP
2023-06-17,17,6,2023,11.6,17.0,7.5,,14.9,0.1,Oeste,SP
2023-06-18,18,6,2023,12.3,17.5,9.4,,14.0,0.0,Sudeste,SP
2023-06-19,19,6,2023,13.0,18.1,10.0,,16.0,0.0,Leste,SP
2023-06-20,20,6,2023,14.6,20.6,11.1,,15.9,0.0,Leste,SP
2023-06-21,21,6,2023,14.9,22.1,8.5,,13.0,0.0,Nordeste,SP
2023-06-22,22,6,2023,15.7,22.9,10.4,,15.6,0.0,Norte,SP
2023-06-23,23,6,2023,16.2,23.5,10.4,,15.8,0.0,Noroeste,SP
2023-06-24,24,6,2023,17.3,23.8,12.5,,13.2,0.0,Noroeste,SP
2023-06-25,25,6,2023,17.1,24.4,11.5,,11.2,0.0,Noroeste,SP
2023-06-26,26,6,2023,17.2,24.8,10.5,,11.6,0.0,Nordeste,SP
2023-06-27,27,6,2023,16.8,23.5,10.8,,19.4,0.0,Noroeste,SP
2023-06-28,28,6,2023,17.2,24.3,11.6,,22.6,0.0,Noroeste,SP
2023-06-29,29,6,2023,16.1,21.1,12.0,,19.2,0.2,Sudeste,SP
2023-06-30,30,6,2023,16.4,21.3,14.4,,15.3,0.0,Leste,SP
2023-07-01,1,7,2023,16.5,22.5,13.6,,17.1,0.8,Sul,SP
2023-07-02,2,7,2023,15.4,20.3,12.8,,16.6,0.0,Sul,SP
2023-07-03,3,7,2023,14.4,19.1,11.6,,18.0,0.1,Sudeste,SP
2023-07-04,4,7,2023,12.8,20.0,7.8,,16.6,0.0,Leste,SP
2023-07-05,5,7,2023,13.9,22.3,7.0,,14.3,0.0,Nordeste,SP
2023-07-06,6,7,2023,14.8,22.3,7.6,,13.8,0.0,Norte,SP
2023-07-07,7,7,2023,16.1,23.2,9.5,,16.0,0.0,Noroeste,SP
2023-07-08,8,7,2023,17.2,25.0,9.8,,29.3,0.0,Noroeste,SP
2023-07-09,9,7,2023,16.8,19.3,14.1,,17.1,13.9,Noroeste,SP
2023-07-10,10,7,2023,17.1,23.4,13.4,,16.6,0.4,Norte,SP
2023-07-11,11,7,2023,19.1,25.9,13.7,,16.8,0.0,Noroeste,SP
2023-07-12,12,7,2023,19.5,26.8,14.7,,27.2,0.0,Norte,SP
2023-07-13,13,7,2023,20.5,23.2,16.4,,43.1,0.0,Noroeste,SP
2023-07-14,14,7,2023,13.3,17.3,8.8,,21.3,0.0,Sudoeste,SP
2023-07-15,15,7,2023,12.6,18.4,9.1,,18.1,0.0,Leste,SP
2023-07-16,16,7,2023,14.7,23.7,9.3,,14.2,0.0,Oeste,SP
2023-07-17,17,7,2023,16.7,23.6,12.3,,15.4,0.0,Sudeste,SP
2023-07-18,18,7,2023,15.4,18.2,14.0,,20.1,0.7,Sudeste,SP
2023-07-19,19,7,2023,14.9,17.1,13.7,,21.1,2.7,Sudeste,SP
2023-07-20,20,7,2023,15.7,21.4,13.3,,25.8,0.0,Leste,SP
2023-07-21,21,7,2023,16.2,22.5,12.9,,18.8,0.0,Leste,SP
2023-07-22,22,7,2023,16.4,22.3,12.5,,14.0,0.0,Leste,SP
2023-07-23,23,7,2023,17.0,24.8,10.1,,9.7,0.0,Nordeste,SP
2023-07-24,24,7,2023,18.5,25.2,12.8,,12.1,0.0,Nordeste,SP
2023-07-25,25,7,2023,18.8,25.4,13.0,,11.2,0.0,Nordeste,SP
2023-07-26,26,7,2023,19.2,26.5,12.4,,16.5,0.0,Norte,SP
2023-07-27,27,7,2023,17.7,24.9,12.7,,19.2,0.2,Sudeste,SP
2023-07-28,28,7,2023,19.4,26.9,14.9,,21.7,1.1,Norte,SP
2023-07-29,29,7,2023,15.2,17.1,13.1,,21.2,0.3,Sudeste,SP
2023-07-30,30,7,2023,14.6,19.9,12.5,,16.6,0.0,Sudeste,SP
2023-07-31,31,7,2023,16.4,23.9,12.4,,12.3,0.0,Leste,SP
2023-08-01,1,8,2023,17.1,23.1,14.2,,14.9,0.0,Leste,SP
2023-08-02,2,8,2023,18.7,27.3,12.9,,8.4,0.0,Norte,SP
2023-08-03,3,8,2023,18.7,27.1,12.0,,19.2,0.0,Noroeste,SP
2023-08-04,4,8,2023,16.4,23.6,10.0,,10.7,0.0,Sudeste,SP
2023-08-05,5,8,2023,17.8,26.5,12.2,,16.1,0.0,Sudeste,SP
2023-08-06,6,8,2023,19.0,29.0,11.8,,11.4,0.0,Nordeste,SP
2023-08-07,7,8,2023,22.0,29.0,15.4,,21.9,0.0,Noroeste,SP
2023-08-08,8,8,2023,17.0,20.6,15.6,,25.9,0.7,Sudeste,SP
2023-08-09,9,8,2023,17.9,26.4,14.7,,27.7,15.6,Leste,SP
2023-08-10,10,8,2023,19.2,27.2,13.9,,14.1,0.1,Nordeste,SP
2023-08-11,11,8,2023,20.4,28.9,15.5,,19.8,0.0,Norte,SP
2023-08-12,12,8,2023,18.1,26.2,13.6,,19.4,0.6,Leste,SP
2023-08-13,13,8,2023,15.6,17.6,13.3,,22.9,0.3,Sudeste,SP
2023-08-14,14,8,2023,15.3,19.3,13.1,,16.4,0.0,Sudeste,SP
2023-08-15,15,8,2023,17.9,23.8,15.3,,19.5,0.0,Leste,SP
2023-08-16,16,8,2023,19.2,24.6,16.0,,13.9,0.1,Leste,SP
2023-08-17,17,8,2023,19.7,26.4,13.8,,12.8,0.0,Norte,SP
2023-08-18,18,8,2023,21.0,27.5,15.8,,21.7,0.0,Norte,SP
2023-08-19,19,8,2023,20.8,24.7,16.3,,25.8,0.0,Noroeste,SP
2023-08-20,20,8,2023,18.5,24.9,13.3,,18.1,0.0,Norte,SP
2023-08-21,21,8,2023,20.0,25.4,15.7,,25.4,0.0,Noroeste,SP
2023-08-22,22,8,2023,19.9,28.8,12.3,,21.3,0.0,Norte,SP
2023-08-23,23,8,2023,24.3,31.5,18.6,,28.9,0.0,Noroeste,SP
2023-08-24,24,8,2023,25.4,31.3,20.1,,33.7,0.2,Noroeste,SP
2023-08-25,25,8,2023,18.9,24.2,15.4,,25.3,2.2,Sul,SP
