Data,dia,mes,ano,Temperatura_media,Temperatura_maxima,Temperatura_minima,Probabilidade_chuva_max,Velocidade_vento_max,Chuva_total,Direcao_vento,estado
1982-06-01,1,6,1982,16.1,21.0,13.2,,10.1,0.0,Leste,SP
1982-06-02,2,6,1982,17.1,21.7,14.4,,13.1,0.0,Leste,SP
1982-06-03,3,6,1982,17.0,22.2,11.8,,15.9,0.0,Norte,SP
1982-06-04,4,6,1982,17.5,22.6,12.9,,19.7,0.0,Norte,SP
1982-06-05,5,6,1982,16.9,20.1,15.0,,19.5,5.5,Noroeste,SP
1982-06-06,6,6,1982,16.4,19.1,14.5,,8.3,0.4,Noroeste,SP
1982-06-07,7,6,1982,16.6,19.3,15.1,,10.2,0.0,Sudeste,SP
1982-06-08,8,6,1982,17.7,23.2,14.5,,20.0,0.0,Norte,SP
1982-06-09,9,6,1982,17.6,24.6,12.1,,13.2,0.0,Noroeste,SP
1982-06-10,10,6,1982,18.6,25.4,12.9,,16.9,0.0,Norte,SP
1982-06-11,11,6,1982,19.4,24.7,15.4,,20.9,0.0,Noroeste,SP
1982-06-12,12,6,1982,19.6,22.9,17.7,,18.4,1.3,Noroeste,SP
1982-06-13,13,6,1982,17.6,22.1,13.9,,8.7,0.6,Norte,SP
1982-06-14,14,6,1982,19.0,25.6,14.7,,13.0,0.0,Norte,SP
1982-06-15,15,6,1982,19.5,25.9,14.3,,17.7,0.0,Norte,SP
1982-06-16,16,6,1982,16.7,18.7,15.5,,17.2,11.4,Sul,SP
1982-06-17,17,6,1982,15.5,16.9,14.3,,20.8,4.4,Sudeste,SP
1982-06-18,18,6,1982,17.3,22.1,14.6,,15.1,0.0,Leste,SP
1982-06-19,19,6,1982,17.4,22.7,12.9,,22.9,0.0,Norte,SP
1982-06-20,20,6,1982,17.9,20.4,15.9,,21.0,1.6,Noroeste,SP
1982-06-21,21,6,1982,16.5,19.8,14.5,,11.0,0.0,Noroeste,SP
1982-06-22,22,6,1982,16.2,18.6,14.5,,19.5,7.6,Noroeste,SP
1982-06-23,23,6,1982,16.2,18.8,14.4,,11.8,7.3,Noroeste,SP
1982-06-24,24,6,1982,18.1,23.0,15.1,,20.6,1.0,Noroeste,SP
1982-06-25,25,6,1982,18.3,20.7,16.6,,27.1,4.3,Noroeste,SP
1982-06-26,26,6,1982,18.1,20.7,16.0,,24.2,22.8,Noroeste,SP
1982-06-27,27,6,1982,21.4,26.6,18.0,,22.4,0.0,Norte,SP
1982-06-28,28,6,1982,21.6,26.6,17.9,,25.1,0.0,Norte,SP
1982-06-29,29,6,1982,18.9,20.6,17.9,,25.1,8.1,Noroeste,SP
1982-06-30,30,6,1982,17.8,20.4,16.6,,17.3,5.1,Noroeste,SP
1982-07-01,1,7,1982,16.9,19.7,14.4,,14.4,0.7,Sudoeste,SP
1982-07-02,2,7,1982,15.5,18.7,12.9,,16.5,0.0,Sudeste,SP
1982-07-03,3,7,1982,16.9,23.3,12.2,,11.3,0.0,Norte,SP
1982-07-04,4,7,1982,17.4,23.4,12.3,,20.3,0.0,Noroeste,SP
1982-07-05,5,7,1982,18.3,24.4,13.5,,15.8,0.0,Noroeste,SP
1982-07-06,6,7,1982,18.6,24.4,13.7,,18.1,0.0,Norte,SP
1982-07-07,7,7,1982,18.6,24.2,14.5,,23.2,0.0,Noroeste,SP
1982-07-08,8,7,1982,17.1,20.1,14.5,,15.5,0.0,Sudeste,SP
1982-07-09,9,7,1982,17.8,23.6,14.4,,20.8,0.8,Norte,SP
1982-07-10,10,7,1982,16.3,18.7,14.7,,11.0,0.2,Sul,SP
1982-07-11,11,7,1982,17.2,22.7,14.4,,10.4,2.9,Nordeste,SP
1982-07-12,12,7,1982,18.7,23.8,14.4,,15.0,1.7,Norte,SP
1982-07-13,13,7,1982,18.7,20.6,17.5,,37.5,0.9,Noroeste,SP
1982-07-14,14,7,1982,14.0,17.3,11.4,,18.0,0.5,Sudeste,SP
1982-07-15,15,7,1982,12.9,18.5,9.8,,12.6,0.0,Sudeste,SP
1982-07-16,16,7,1982,15.3,22.4,11.2,,10.5,0.0,Nordeste,SP
1982-07-17,17,7,1982,17.1,23.5,13.4,,14.5,3.0,Norte,SP
1982-07-18,18,7,1982,18.2,24.6,14.3,,18.4,0.9,Noroeste,SP
1982-07-19,19,7,1982,16.8,19.1,14.8,,17.0,17.2,Sudeste,SP
1982-07-20,20,7,1982,16.3,20.9,13.7,,15.1,0.0,Leste,SP
1982-07-21,21,7,1982,17.3,23.5,12.8,,9.2,0.0,Nordeste,SP
1982-07-22,22,7,1982,17.9,24.1,12.7,,7.3,0.0,Nordeste,SP
1982-07-23,23,7,1982,18.3,24.0,12.5,,11.3,0.0,Norte,SP
1982-07-24,24,7,1982,18.4,24.0,14.0,,9.0,0.0,Norte,SP
1982-07-25,25,7,1982,18.4,24.0,12.9,,8.9,0.0,Leste,SP
1982-07-26,26,7,1982,17.4,23.6,13.4,,8.7,0.0,Leste,SP
1982-07-27,27,7,1982,17.6,23.1,13.5,,8.5,0.0,Leste,SP
