Data,dia,mes,ano,Temperatura_media,Temperatura_maxima,Temperatura_minima,Probabilidade_chuva_max,Velocidade_vento_max,Chuva_total,Direcao_vento,estado
2023-01-01,1,1,2023,21.0,25.6,16.9,,17.9,5.7,Leste,SP
2023-01-02,2,1,2023,21.6,27.1,17.1,,16.1,2.2,Norte,SP
2023-01-03,3,1,2023,21.6,25.2,18.3,,24.0,8.8,Noroeste,SP
2023-01-04,4,1,2023,21.2,25.6,18.1,,23.7,13.3,Noroeste,SP
2023-01-05,5,1,2023,17.3,19.4,16.4,,22.0,20.1,Sudeste,SP
2023-01-06,6,1,2023,16.9,19.0,15.7,,21.2,2.0,Sudeste,SP
2023-01-07,7,1,2023,17.0,19.8,15.0,,21.8,1.1,Sudeste,SP
2023-01-08,8,1,2023,18.0,21.4,14.9,,20.7,0.3,Sudeste,SP
2023-01-09,9,1,2023,19.2,22.9,17.4,,21.8,4.9,Sudeste,SP
2023-01-10,10,1,2023,20.0,24.7,17.9,,17.9,16.6,Norte,SP
2023-01-11,11,1,2023,20.4,24.8,17.0,,23.9,3.6,Noroeste,SP
2023-01-12,12,1,2023,21.4,25.5,18.6,,24.0,3.2,Noroeste,SP
2023-01-13,13,1,2023,21.7,25.6,18.6,,28.2,10.4,Noroeste,SP
2023-01-14,14,1,2023,23.2,27.9,19.4,,31.1,1.8,Noroeste,SP
2023-01-15,15,1,2023,23.9,29.1,20.0,,16.1,1.4,Norte,SP
2023-01-16,16,1,2023,23.1,29.2,18.9,,13.6,13.7,Leste,SP
2023-01-17,17,1,2023,23.0,28.5,20.1,,14.4,5.6,Sudeste,SP
2023-01-18,18,1,2023,22.1,27.6,19.1,,17.4,7.6,Sudeste,SP
2023-01-19,19,1,2023,21.4,27.1,18.4,,16.6,7.1,Sudeste,SP
2023-01-20,20,1,2023,20.4,23.1,18.2,,15.3,19.3,Norte,SP
2023-01-21,21,1,2023,20.6,25.7,15.9,,17.3,1.6,Oeste,SP
2023-01-22,22,1,2023,22.5,27.2,18.2,,19.5,0.8,Noroeste,SP
2023-01-23,23,1,2023,22.2,27.7,18.2,,15.5,17.9,Noroeste,SP
2023-01-24,24,1,2023,21.2,26.7,18.4,,17.9,3.0,Sudoeste,SP
2023-01-25,25,1,2023,21.6,26.8,18.4,,19.9,0.2,Sudeste,SP
2023-01-26,26,1,2023,20.8,26.9,16.0,,22.4,0.0,Leste,SP
2023-01-27,27,1,2023,20.0,27.1,15.0,,18.9,0.6,Leste,SP
2023-01-28,28,1,2023,22.0,27.3,18.4,,13.2,3.2,Nordeste,SP
2023-01-29,29,1,2023,21.9,27.0,18.0,,21.9,9.0,Noroeste,SP
2023-01-30,30,1,2023,21.5,25.4,18.3,,21.1,8.7,Noroeste,SP
2023-01-31,31,1,2023,22.4,26.8,18.8,,22.5,10.0,Noroeste,SP
2023-02-01,1,2,2023,22.3,26.5,19.8,,14.5,8.2,Noroeste,SP
2023-02-02,2,2,2023,22.6,27.7,19.0,,17.9,10.2,Noroeste,SP
2023-02-03,3,2,2023,22.4,26.5,20.0,,24.6,0.6,Noroeste,SP
2023-02-04,4,2,2023,22.1,26.9,19.5,,30.3,7.9,Noroeste,SP
2023-02-05,5,2,2023,22.4,26.8,19.8,,25.7,2.5,Noroeste,SP
2023-02-06,6,2,2023,21.8,27.1,18.6,,19.3,9.4,Noroeste,SP
2023-02-07,7,2,2023,20.5,25.4,17.6,,12.9,25.0,Sul,SP
2023-02-08,8,2,2023,20.7,25.3,17.8,,15.5,4.5,Sudeste,SP
2023-02-09,9,2,2023,21.2,27.5,16.2,,15.3,1.9,Leste,SP
2023-02-10,10,2,2023,21.7,27.5,18.5,,15.2,18.5,Norte,SP
2023-02-11,11,2,2023,21.0,24.5,18.3,,15.0,4.6,Norte,SP
2023-02-12,12,2,2023,21.0,26.0,17.3,,22.1,16.2,Norte,SP
2023-02-13,13,2,2023,22.0,26.6,18.3,,19.3,3.4,Noroeste,SP
2023-02-14,14,2,2023,22.5,27.0,18.3,,22.9,5.0,Noroeste,SP
2023-02-15,15,2,2023,23.7,28.6,20.9,,26.8,2.2,Noroeste,SP
2023-02-16,16,2,2023,22.9,26.9,20.7,,29.6,3.4,Noroeste,SP
2023-02-17,17,2,2023,23.5,28.2,20.3,,33.2,0.4,Noroeste,SP
2023-02-18,18,2,2023,21.5,24.1,19.0,,27.4,2.0,Sudoeste,SP
2023-02-19,19,2,2023,18.4,20.4,17.0,,25.4,44.3,Sul,SP
2023-02-20,20,2,2023,21.0,27.9,18.1,,14.8,9.9,Sudeste,SP
2023-02-21,21,2,2023,21.1,26.4,16.8,,20.7,15.3,Noroeste,SP
2023-02-22,22,2,2023,21.0,26.1,18.0,,15.3,3.9,Leste,SP
2023-02-23,23,2,2023,21.0,26.8,18.7,,14.4,23.7,Leste,SP
2023-02-24,24,2,2023,21.8,27.3,17.9,,20.3,5.2,Norte,SP
2023-02-25,25,2,2023,23.0,27.8,19.1,,26.1,1.3,Noroeste,SP
2023-02-26,26,2,2023,23.7,28.1,19.4,,21.9,0.6,Noroeste,SP
2023-02-27,27,2,2023,22.3,26.3,20.0,,21.9,2.4,Sul,SP
2023-02-28,28,2,2023,20.9,25.3,19.4,,14.6,15.9,Sudeste,SP
2023-03-01,1,3,2023,21.3,26.9,17.8,,14.8,1.0,Leste,SP
2023-03-02,2,3,2023,21.9,27.8,16.9,,15.2,0.1,Noroeste,SP
2023-03-03,3,3,2023,22.8,28.4,19.0,,11.8,2.8,Nordeste,SP
2023-03-04,4,3,2023,22.6,26.6,19.6,,18.1,9.9,Noroeste,SP
2023-03-05,5,3,2023,21.7,25.4,19.5,,26.0,5.5,Noroeste,SP
2023-03-06,6,3,2023,21.2,25.9,17.7,,22.7,9.8,Norte,SP
2023-03-07,7,3,2023,21.8,26.5,17.8,,19.8,3.6,Norte,SP
2023-03-08,8,3,2023,22.2,28.3,18.1,,14.4,9.3,Norte,SP
2023-03-09,9,3,2023,22.4,28.0,18.8,,11.8,8.8,Norte,SP
2023-03-10,10,3,2023,21.4,27.0,18.5,,18.1,19.9,Leste,SP
2023-03-11,11,3,2023,20.5,24.3,18.6,,17.1,18.4,Norte,SP
2023-03-12,12,3,2023,20.6,24.0,18.8,,11.6,14.2,Leste,SP
2023-03-13,13,3,2023,20.8,25.7,18.8,,16.8,24.9,Leste,SP
2023-03-14,14,3,2023,21.1,25.7,18.3,,14.5,12.8,Leste,SP
2023-03-15,15,3,2023,21.1,25.8,18.0,,18.8,1.9,Leste,SP
2023-03-16,16,3,2023,20.4,26.4,16.0,,21.3,0.3,Leste,SP
2023-03-17,17,3,2023,19.8,25.6,15.2,,17.1,0.5,Sudeste,SP
2023-03-18,18,3,2023,20.2,26.9,15.0,,16.1,0.0,Sudeste,SP
2023-03-19,19,3,2023,22.0,28.1,18.6,,17.8,0.4,Leste,SP
2023-03-20,20,3,2023,22.4,28.9,18.5,,13.8,0.8,Noroeste,SP
2023-03-21,21,3,2023,21.1,27.5,15.5,,16.3,0.0,Sul,SP
2023-03-22,22,3,2023,21.3,28.1,17.4,,19.2,0.0,Sudeste,SP
2023-03-23,23,3,2023,21.4,28.0,17.4,,17.7,0.0,Leste,SP
2023-03-24,24,3,2023,22.1,28.6,16.7,,14.1,0.5,Sudoeste,SP
2023-03-25,25,3,2023,22.1,28.5,17.6,,14.5,0.0,Sul,SP
2023-03-26,26,3,2023,23.7,29.9,18.3,,20.0,0.1,Noroeste,SP
2023-03-27,27,3,2023,20.9,23.8,19.3,,22.6,17.0,Sudeste,SP
2023-03-28,28,3,2023,20.3,25.6,17.0,,19.0,0.4,Leste,SP
2023-03-29,29,3,2023,21.9,28.5,18.5,,14.6,9.2,Nordeste,SP
2023-03-30,30,3,2023,22.4,28.1,17.8,,16.1,0.2,Noroeste,SP
2023-03-31,31,3,2023,21.9,27.4,18.1,,19.1,10.1,Noroeste,SP
2023-04-01,1,4,2023,20.7,27.1,16.3,,19.1,0.3,Sul,SP
2023-04-02,2,4,2023,18.5,21.5,15.9,,18.5,0.4,Sudeste,SP
2023-04-03,3,4,2023,18.1,24.6,14.3,,16.6,0.2,Leste,SP
2023-04-04,4,4,2023,19.5,27.0,15.1,,17.6,0.3,Sudeste,SP
2023-04-05,5,4,2023,18.7,25.0,14.1,,19.4,0.1,Sudeste,SP
2023-04-06,6,4,2023,19.6,24.9,16.6,,19.5,2.2,Sudeste,SP
2023-04-07,7,4,2023,18.8,20.8,17.6,,15.5,15.5,Leste,SP
2023-04-08,8,4,2023,19.1,22.1,17.8,,20.2,3.8,Sudeste,SP
2023-04-09,9,4,2023,18.7,21.7,16.7,,19.0,0.9,Leste,SP
2023-04-10,10,4,2023,17.6,22.9,13.9,,20.4,0.0,Sudeste,SP
2023-04-11,11,4,2023,18.1,25.3,13.6,,15.5,0.1,Leste,SP
2023-04-12,12,4,2023,19.5,25.9,15.3,,12.0,1.3,Nordeste,SP
2023-04-13,13,4,2023,21.1,27.0,15.6,,14.1,2.4,Noroeste,SP
2023-04-14,14,4,2023,19.8,22.9,16.9,,12.8,8.3,Norte,SP
2023-04-15,15,4,2023,19.4,21.8,17.5,,19.1,5.7,Sudoeste,SP
2023-04-16,16,4,2023,19.9,24.8,16.9,,16.2,0.1,Leste,SP
2023-04-17,17,4,2023,20.4,27.1,15.6,,23.5,19.8,Noroeste,SP
