time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_probability_max,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant
2025-06-01,23.4,12.4,16.8,6,0.0,11.0,135
2025-06-02,23.6,15.6,18.5,0,0.1,12.3,101
2025-06-03,22.7,14.8,17.7,98,1.7,10.3,31
2025-06-04,25.4,14.6,19.7,10,0.1,15.8,316
2025-06-05,26.0,16.6,20.2,100,4.4,17.2,330
2025-06-06,19.5,16.6,17.8,100,2.6,10.1,281
2025-06-07,20.7,15.3,17.5,86,0.0,8.4,98
2025-06-08,21.9,14.8,17.6,100,1.7,15.0,343
2025-06-09,18.8,14.5,15.8,100,10.3,11.4,178
2025-06-10,17.3,12.9,14.6,37,1.9,9.0,176
2025-06-11,15.8,11.5,13.2,22,0.4,12.7,167
2025-06-12,14.9,9.8,11.7,10,0.4,14.0,131
2025-06-13,17.6,9.0,12.4,0,0.0,14.4,87
2025-06-14,20.5,9.1,13.6,0,0.0,13.3,58
2025-06-15,19.8,12.1,15.2,86,1.1,12.8,4
2025-06-16,22.6,10.9,16.7,0,0.0,12.5,29
2025-06-17,23.8,11.7,17.2,0,0.0,9.3,38
2025-06-18,22.7,11.8,17.3,0,0.0,12.9,350
2025-06-19,24.9,13.0,18.7,0,0.0,8.4,336
2025-06-20,24.9,12.5,19.0,0,0.0,13.9,346
2025-06-21,23.2,16.1,18.8,78,2.8,14.1,313
2025-06-22,23.6,16.0,19.1,82,1.3,11.9,338
2025-06-23,24.7,17.3,19.5,100,6.5,23.7,342
2025-06-24,17.4,10.7,14.5,100,6.0,17.4,294
2025-06-25,17.1,5.5,10.6,0,0.0,10.7,80
2025-06-26,24.9,10.7,16.9,0,0.0,15.7,15
2025-06-27,23.6,15.8,18.7,100,7.6,13.5,318
2025-06-28,24.9,15.4,18.5,27,0.0,12.3,82
2025-06-29,25.4,17.7,21.0,0,0.0,21.4,335
2025-06-30,21.7,14.8,17.6,18,0.1,13.2,149
2025-07-01,15.1,11.9,14.0,12,0.4,11.6,153
2025-07-02,12.5,10.7,11.4,18,0.4,12.0,146
2025-07-03,14.3,10.6,11.8,96,2.0,11.1,155
2025-07-04,18.5,11.8,13.7,67,0.6,11.2,141
2025-07-05,20.4,11.2,14.7,0,0.0,8.6,106
2025-07-06,19.3,10.1,13.7,0,0.0,12.7,167
2025-07-07,19.5,10.7,13.9,0,0.0,9.9,115
2025-07-08,22.3,11.5,15.8,0,0.0,11.8,303
2025-07-09,20.0,9.1,14.0,0,0.0,12.2,137
2025-07-10,21.4,11.7,15.1,0,0.0,12.0,106
2025-07-11,22.0,12.1,16.3,0,0.0,9.1,91
2025-07-12,22.9,13.6,17.6,8,0.1,13.1,94
2025-07-13,22.5,14.0,17.1,2,0.0,12.1,95
2025-07-14,21.8,11.6,15.9,0,0.0,11.0,123
2025-07-15,22.5,9.3,15.8,0,0.0,8.5,101
2025-07-16,22.9,10.9,16.7,0,0.0,9.2,93
2025-07-17,23.8,10.4,17.4,0,0.0,13.4,324
2025-07-18,24.0,14.4,18.6,2,0.0,20.2,301
2025-07-19,20.5,10.3,14.6,0,0.0,9.3,132
2025-07-20,21.2,9.2,14.0,0,0.0,9.4,106
2025-07-21,24.9,11.7,16.8,0,0.0,10.6,106
2025-07-22,25.3,13.3,18.5,0,0.0,13.7,278
2025-07-23,21.5,13.0,17.3,0,0.0,10.1,165
2025-07-24,22.1,12.5,15.8,0,0.1,13.8,124
2025-07-25,18.6,13.6,15.9,100,5.1,8.7,92
2025-07-26,23.8,12.4,17.0,0,0.0,8.3,79
2025-07-27,26.5,12.6,19.5,0,0.0,14.1,34
2025-07-28,23.3,17.7,20.6,100,0.3,30.4,325
2025-07-29,18.8,10.7,15.2,67,1.5,18.1,242
2025-07-30,16.4,7.6,11.6,0,0.0,9.9,125
2025-07-31,19.8,7.0,12.3,0,0.0,10.8,100
2025-08-01,23.7,9.2,15.2,0,0.0,11.1,84
2025-08-02,26.3,10.5,18.1,0,0.0,8.8,44
2025-08-03,25.3,12.1,18.9,0,0.0,14.8,351
2025-08-04,22.5,12.4,17.6,0,0.0,9.4,42
2025-08-05,20.0,13.4,15.9,21,0.4,11.7,155
2025-08-06,18.9,13.6,15.6,61,0.9,12.8,164
2025-08-07,25.3,12.7,17.3,0,0.0,10.0,114
2025-08-08,25.3,12.4,17.9,96,6.2,21.0,312
2025-08-09,18.3,11.6,14.9,90,2.7,15.4,249
2025-08-10,15.1,8.8,11.3,12,0.5,11.0,167
2025-08-11,17.2,7.3,11.2,0,0.0,13.0,145
2025-08-12,19.4,10.2,13.1,0,0.0,10.1,122
2025-08-13,24.9,9.7,16.0,0,0.0,10.3,13
2025-08-14,19.2,11.7,15.2,0,0.0,13.0,156
2025-08-15,20.7,10.7,14.7,0,0.0,14.4,125
2025-08-16,23.4,12.8,16.2,0,0.0,12.2,108
2025-08-17,25.5,13.6,17.8,2,0.0,8.9,121
2025-08-18,23.6,12.5,16.9,0,0.0,13.6,115
2025-08-19,26.8,12.5,18.0,0,0.0,13.9,68
2025-08-20,28.8,16.5,22.0,33,0.0,15.0,29
2025-08-21,29.8,18.4,23.3,14,0.5,12.3,314
