time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_probability_max,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant
1982-06-01,21.0,13.2,16.1,,0.0,10.1,107
1982-06-02,21.7,14.4,17.1,,0.0,13.1,84
1982-06-03,22.2,11.8,17.0,,0.0,15.9,2
1982-06-04,22.6,12.9,17.5,,0.0,19.7,345
1982-06-05,20.1,15.0,16.9,,5.5,19.5,335
1982-06-06,19.1,14.5,16.4,,0.4,8.3,296
1982-06-07,19.3,15.1,16.6,,0.0,10.2,119
1982-06-08,23.2,14.5,17.7,,0.0,20.0,11
1982-06-09,24.6,12.1,17.6,,0.0,13.2,324
1982-06-10,25.4,12.9,18.6,,0.0,16.9,0
1982-06-11,24.7,15.4,19.4,,0.0,20.9,337
1982-06-12,22.9,17.7,19.6,,1.3,18.4,332
1982-06-13,22.1,13.9,17.6,,0.6,8.7,340
1982-06-14,25.6,14.7,19.0,,0.0,13.0,16
1982-06-15,25.9,14.3,19.5,,0.0,17.7,342
1982-06-16,18.7,15.5,16.7,,11.4,17.2,172
1982-06-17,16.9,14.3,15.5,,4.4,20.8,137
1982-06-18,22.1,14.6,17.3,,0.0,15.1,94
1982-06-19,22.7,12.9,17.4,,0.0,22.9,340
1982-06-20,20.4,15.9,17.9,,1.6,21.0,322
1982-06-21,19.8,14.5,16.5,,0.0,11.0,315
1982-06-22,18.6,14.5,16.2,,7.6,19.5,318
1982-06-23,18.8,14.4,16.2,,7.3,11.8,311
1982-06-24,23.0,15.1,18.1,,1.0,20.6,332
1982-06-25,20.7,16.6,18.3,,4.3,27.1,317
1982-06-26,20.7,16.0,18.1,,22.8,24.2,332
1982-06-27,26.6,18.0,21.4,,0.0,22.4,341
1982-06-28,26.6,17.9,21.6,,0.0,25.1,344
1982-06-29,20.6,17.9,18.9,,8.1,25.1,322
1982-06-30,20.4,16.6,17.8,,5.1,17.3,324
1982-07-01,19.7,14.4,16.9,,0.7,14.4,215
1982-07-02,18.7,12.9,15.5,,0.0,16.5,114
1982-07-03,23.3,12.2,16.9,,0.0,11.3,22
1982-07-04,23.4,12.3,17.4,,0.0,20.3,334
1982-07-05,24.4,13.5,18.3,,0.0,15.8,336
1982-07-06,24.4,13.7,18.6,,0.0,18.1,341
1982-07-07,24.2,14.5,18.6,,0.0,23.2,324
1982-07-08,20.1,14.5,17.1,,0.0,15.5,128
1982-07-09,23.6,14.4,17.8,,0.8,20.8,346
1982-07-10,18.7,14.7,16.3,,0.2,11.0,185
1982-07-11,22.7,14.4,17.2,,2.9,10.4,47
1982-07-12,23.8,14.4,18.7,,1.7,15.0,10
