time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_probability_max,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant
2019-04-15,26.1,16.4,19.8,,0.9,19.6,104
2019-04-16,25.3,18.0,20.8,,12.7,14.5,35
2019-04-17,25.4,16.9,20.5,,0.5,22.3,273
2019-04-18,24.4,14.7,18.8,,0.0,17.6,195
2019-04-19,23.6,14.9,18.4,,0.0,8.9,123
2019-04-20,25.7,13.3,19.0,,0.0,14.8,301
2019-04-21,27.3,16.4,21.4,,0.1,8.7,324
2019-04-22,26.6,18.0,21.4,,1.0,11.0,109
2019-04-23,25.4,19.4,21.0,,2.8,17.8,129
2019-04-24,26.5,18.9,21.4,,0.8,19.7,125
2019-04-25,26.7,19.1,21.7,,1.2,15.5,123
2019-04-26,26.3,19.0,21.6,,0.3,14.0,119
2019-04-27,27.6,19.0,22.6,,0.0,16.8,341
2019-04-28,27.1,18.6,22.4,,10.8,24.1,312
2019-04-29,22.9,14.2,18.2,,4.0,14.0,233
2019-04-30,24.1,16.7,19.4,,0.0,14.6,84
2019-05-01,25.2,16.4,19.8,,0.0,10.5,292
2019-05-02,26.6,17.1,20.7,,0.0,9.9,13
2019-05-03,26.9,16.8,21.8,,0.0,7.1,20
2019-05-04,27.6,17.7,22.0,,0.0,13.2,110
2019-05-05,26.8,16.0,20.8,,0.2,10.6,90
2019-05-06,26.9,18.2,21.7,,3.0,17.9,302
2019-05-07,23.2,18.5,20.1,,3.5,20.7,166
2019-05-08,20.8,16.8,18.0,,1.0,20.2,132
2019-05-09,21.8,15.1,18.0,,0.2,19.8,107
2019-05-10,25.9,16.0,19.9,,0.2,13.4,49
2019-05-11,25.9,17.2,21.0,,1.0,13.7,351
2019-05-12,26.6,18.1,21.3,,2.9,11.8,272
2019-05-13,25.6,18.6,20.7,,0.1,18.7,138
2019-05-14,25.7,17.7,20.4,,7.0,16.3,270
2019-05-15,21.0,15.5,17.6,,0.9,25.9,190
2019-05-16,19.9,15.6,17.2,,6.6,20.1,132
2019-05-17,18.9,16.0,16.9,,9.6,23.8,111
2019-05-18,20.0,14.9,17.0,,12.8,9.5,113
2019-05-19,21.9,14.7,17.3,,3.5,12.8,24
2019-05-20,22.6,15.5,17.7,,0.0,15.2,301
2019-05-21,24.0,14.1,17.8,,0.0,18.1,328
2019-05-22,23.6,11.6,17.2,,0.0,10.3,308
2019-05-23,24.6,14.7,18.8,,0.0,10.7,320
