time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_probability_max,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant
1997-06-01,16.2,9.4,12.1,,0.0,14.1,131
1997-06-02,17.9,9.2,12.5,,0.0,11.7,106
1997-06-03,16.0,9.2,12.9,,7.9,8.9,90
1997-06-04,20.5,13.7,16.5,,10.4,12.3,345
1997-06-05,19.1,15.1,16.9,,24.8,21.1,333
1997-06-06,21.0,14.1,17.5,,1.5,24.5,309
1997-06-07,17.9,11.8,14.7,,0.0,22.0,299
1997-06-08,13.9,7.0,10.7,,0.0,27.0,297
1997-06-09,16.7,6.4,11.0,,0.0,9.8,308
1997-06-10,19.6,9.4,13.2,,0.0,9.8,55
1997-06-11,21.8,7.7,14.6,,0.9,17.6,3
1997-06-12,21.5,14.4,17.2,,8.7,22.2,314
1997-06-13,24.0,12.8,17.5,,0.0,9.5,21
1997-06-14,23.3,13.7,17.6,,8.2,25.3,343
1997-06-15,18.1,16.5,17.1,,42.2,26.6,328
1997-06-16,19.2,13.8,16.1,,0.0,29.3,312
1997-06-17,19.9,10.9,14.9,,0.2,18.2,310
1997-06-18,19.5,10.8,14.8,,0.0,12.4,112
1997-06-19,24.6,13.1,18.0,,0.0,24.2,355
1997-06-20,23.7,18.0,20.2,,0.0,24.9,336
1997-06-21,25.7,17.3,20.7,,0.0,23.8,339
1997-06-22,25.6,15.9,20.3,,0.0,24.7,332
1997-06-23,25.1,15.0,19.9,,0.0,20.1,330
1997-06-24,24.6,14.5,19.2,,0.0,20.1,324
1997-06-25,24.1,13.4,18.2,,0.0,17.1,321
1997-06-26,23.8,15.0,18.8,,0.0,24.1,329
1997-06-27,23.5,15.1,18.5,,0.3,17.5,319
1997-06-28,17.4,13.8,15.1,,1.8,12.4,126
1997-06-29,21.0,14.8,16.5,,1.0,10.8,178
1997-06-30,15.2,12.4,14.2,,9.1,15.8,156
1997-07-01,14.6,11.9,12.9,,5.1,17.5,108
1997-07-02,24.1,12.4,17.4,,0.1,19.8,354
