time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_probability_max,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant
2024-06-01,22.1,11.3,15.4,,0.0,17.1,79
2024-06-02,24.0,9.5,16.1,,0.0,13.8,15
2024-06-03,22.8,11.4,16.8,,0.1,15.4,357
2024-06-04,17.0,14.6,15.8,,0.5,22.9,169
2024-06-05,21.3,14.1,16.8,,0.6,15.8,102
2024-06-06,23.9,10.7,16.5,,0.0,10.5,93
2024-06-07,24.0,11.2,16.7,,0.0,11.4,71
2024-06-08,24.4,12.2,17.6,,0.0,12.3,74
2024-06-09,26.1,11.1,18.1,,0.0,17.0,7
2024-06-10,26.1,14.7,19.8,,0.0,19.4,334
2024-06-11,24.9,13.6,18.4,,0.0,10.5,88
2024-06-12,26.2,12.7,18.6,,0.0,12.7,45
2024-06-13,25.4,10.0,17.3,,0.0,20.3,360
2024-06-14,26.1,15.1,19.3,,0.0,25.1,356
2024-06-15,26.8,14.4,20.2,,0.0,22.0,347
2024-06-16,26.6,12.6,19.3,,0.0,12.0,351
2024-06-17,25.8,15.8,20.2,,0.0,24.7,342
2024-06-18,25.0,14.3,19.1,,0.0,25.4,343
2024-06-19,25.6,12.7,18.7,,0.0,24.2,340
2024-06-20,25.8,10.5,17.7,,0.0,11.2,75
2024-06-21,24.9,12.1,17.5,,0.0,14.0,62
2024-06-22,26.0,11.8,18.6,,0.0,23.6,6
2024-06-23,27.4,17.0,21.3,,0.0,24.9,340
2024-06-24,27.4,14.7,21.0,,0.0,25.0,330
2024-06-25,21.0,16.3,17.9,,0.4,18.6,157
2024-06-26,27.5,15.3,20.4,,0.0,30.2,337
2024-06-27,23.3,16.4,19.8,,1.0,22.1,276
2024-06-28,25.5,15.0,19.7,,0.0,29.1,310
2024-06-29,24.9,14.5,18.5,,1.9,19.0,234
2024-06-30,15.7,11.8,14.0,,1.5,15.8,143
2024-07-01,17.3,11.6,13.5,,0.2,16.3,83
2024-07-02,24.1,11.3,15.8,,0.0,11.3,58
2024-07-03,24.8,11.8,17.1,,0.0,17.5,302
2024-07-04,25.4,11.9,18.7,,0.0,14.0,341
2024-07-05,25.3,10.7,18.0,,0.0,13.7,337
2024-07-06,21.7,14.4,16.8,,0.2,18.9,157
2024-07-07,26.1,12.9,17.9,,0.0,21.4,36
2024-07-08,19.0,13.2,14.9,,0.6,16.1,159
2024-07-09,15.0,11.7,13.3,,20.0,13.7,211
2024-07-10,21.3,13.2,16.5,,11.2,23.9,317
2024-07-11,25.6,13.2,17.9,,0.0,9.8,59
2024-07-12,20.4,15.0,16.7,,0.7,23.7,148
2024-07-13,15.3,12.3,13.7,,0.1,19.6,147
2024-07-14,24.0,12.3,16.9,,0.0,19.9,35
2024-07-15,20.5,13.5,15.7,,0.0,15.4,172
2024-07-16,20.8,13.6,15.9,,0.1,18.0,114
2024-07-17,22.4,12.8,16.5,,0.2,7.9,177
2024-07-18,22.8,12.2,16.5,,0.0,16.8,202
2024-07-19,20.1,10.4,14.2,,0.0,11.2,110
2024-07-20,20.1,10.1,13.7,,0.0,11.6,120
2024-07-21,22.1,11.0,15.3,,0.0,17.5,93
2024-07-22,24.5,9.1,15.7,,0.0,17.1,219
2024-07-23,23.0,6.3,14.8,,0.0,11.9,95
2024-07-24,23.1,10.3,15.9,,0.0,15.2,84
2024-07-25,24.8,9.2,16.5,,0.0,15.8,336
2024-07-26,24.7,11.3,18.1,,0.0,9.7,113
2024-07-27,25.7,12.5,18.4,,0.0,10.9,51
2024-07-28,27.6,11.2,19.0,,0.0,20.7,333
2024-07-29,26.4,13.4,17.9,,0.3,24.1,151
2024-07-30,16.3,13.7,14.7,,3.3,20.1,150
2024-07-31,22.0,13.2,16.1,,0.0,24.7,96
2024-08-01,24.1,12.8,17.0,,0.0,15.0,87
2024-08-02,24.9,11.8,17.2,,0.0,14.8,76
2024-08-03,26.8,12.1,18.6,,0.0,14.7,41
2024-08-04,27.0,12.7,19.4,,0.0,19.7,24
2024-08-05,27.7,14.4,20.4,,0.0,12.0,13
2024-08-06,27.6,13.5,20.2,,0.0,19.8,66
2024-08-07,27.6,16.5,21.8,,0.0,25.8,353
2024-08-08,30.9,17.9,22.9,,0.0,25.2,331
2024-08-09,20.5,15.5,18.4,,4.7,14.0,300
2024-08-10,15.6,8.8,12.0,,40.4,20.1,174
2024-08-11,19.6,5.9,11.1,,0.0,13.6,328
2024-08-12,18.6,7.8,12.6,,0.0,19.8,278
2024-08-13,13.8,6.1,9.3,,0.1,18.9,131
2024-08-14,20.8,6.1,11.8,,0.0,15.6,97
2024-08-15,27.0,8.7,16.3,,0.0,12.1,20
2024-08-16,28.3,11.3,19.1,,0.0,11.0,57
2024-08-17,28.9,13.3,20.2,,0.0,11.1,56
2024-08-18,29.2,12.9,20.9,,0.0,12.5,70
2024-08-19,29.7,12.4,20.5,,0.0,13.0,3
2024-08-20,29.1,13.4,20.3,,0.0,17.6,177
2024-08-21,27.5,14.0,19.0,,0.0,18.4,99
2024-08-22,30.3,12.7,20.8,,0.0,20.0,21
2024-08-23,32.1,15.4,23.7,,0.0,29.8,348
2024-08-24,22.7,14.5,17.0,,4.2,31.5,164
2024-08-25,16.2,9.6,12.9,,8.6,17.3,161
2024-08-26,15.1,6.1,10.2,,0.2,15.8,148
2024-08-27,18.2,1.4,8.5,,0.0,20.0,113
2024-08-28,20.4,6.1,11.6,,0.0,17.7,114
2024-08-29,25.3,11.1,16.0,,0.0,15.2,96
2024-08-30,27.2,11.2,18.4,,0.0,8.7,99
2024-08-31,27.7,11.7,19.1,,0.0,14.3,100
2024-09-01,30.8,12.8,20.7,,0.0,19.7,326
2024-09-02,29.9,14.3,20.0,,0.0,22.1,207
2024-09-03,31.6,13.9,20.5,,0.0,20.6,138
2024-09-04,31.3,16.1,22.9,,0.0,24.0,71
2024-09-05,25.7,16.4,20.3,,0.2,23.4,138
2024-09-06,23.9,15.0,17.7,,0.2,24.2,140
2024-09-07,32.6,15.6,22.5,,0.0,14.3,85
2024-09-08,32.2,16.5,24.7,,0.0,15.3,77
2024-09-09,32.7,16.8,24.6,,0.0,19.1,85
2024-09-10,32.8,15.1,24.2,,0.0,19.5,349
2024-09-11,32.5,18.1,25.5,,0.0,17.7,347
2024-09-12,32.9,19.0,26.1,,0.0,19.2,349
2024-09-13,33.4,17.9,26.0,,0.0,20.2,13
2024-09-14,33.1,19.8,25.1,,0.0,24.3,16
2024-09-15,21.6,16.8,18.8,,0.5,23.4,142
2024-09-16,17.9,15.0,16.8,,8.1,22.8,166
2024-09-17,19.1,12.6,15.3,,1.9,24.7,132
2024-09-18,21.9,13.2,16.3,,0.0,25.1,109
2024-09-19,27.0,14.4,18.7,,0.6,17.0,115
2024-09-20,32.4,15.2,22.6,,0.1,20.9,349
