Data,Temperatura_maxima,Temperatura_minima,Temperatura_media,Probabilidade_chuva_max,Chuva_total,Velocidade_vento_max,Direcao_vento,ano,mes,dia,estado
2026-06-01,20.2,13.1,15.3,0,0.0,11.3,136,2026,6,1,SP
2026-06-02,20.1,11.3,14.8,0,0.0,12.0,142,2026,6,2,SP
2026-06-03,22.0,14.1,16.6,2,0.0,12.4,123,2026,6,3,SP
2026-06-04,22.4,14.0,16.8,0,0.0,12.7,106,2026,6,4,SP
2026-06-05,21.1,11.5,15.6,0,0.0,11.4,104,2026,6,5,SP
2026-06-06,22.5,11.5,16.1,0,0.0,10.6,307,2026,6,6,SP
2026-06-07,22.8,10.3,16.4,0,0.0,6.6,295,2026,6,7,SP
2026-06-08,23.7,9.2,16.6,0,0.0,10.5,2,2026,6,8,SP
2026-06-09,23.6,11.4,17.5,0,0.0,12.8,301,2026,6,9,SP
2026-06-10,24.5,12.0,17.6,85,0.4,10.2,316,2026,6,10,SP
2026-06-11,19.0,15.1,16.8,100,10.7,11.9,328,2026,6,11,SP
2026-06-12,19.9,14.3,16.6,100,2.1,23.0,342,2026,6,12,SP
2026-06-13,22.0,15.4,18.1,100,0.7,19.9,315,2026,6,13,SP
2026-06-14,21.7,15.8,18.4,37,1.3,15.4,315,2026,6,14,SP
2026-06-15,17.1,14.4,16.0,100,9.7,9.5,166,2026,6,15,SP
2026-06-16,17.6,13.8,15.1,63,0.8,9.0,161,2026,6,16,SP
2026-06-17,18.9,10.0,14.2,0,0.0,9.7,142,2026,6,17,SP
2026-06-18,18.2,9.6,13.1,0,0.0,11.1,115,2026,6,18,SP
2026-06-19,23.3,9.6,15.0,0,0.0,14.1,38,2026,6,19,SP
2026-06-20,22.8,13.4,17.7,100,1.6,16.3,338,2026,6,20,SP
2026-06-21,20.4,11.4,16.0,100,3.7,12.7,288,2026,6,21,SP
2026-06-22,25.1,10.9,16.9,0,0.0,15.3,356,2026,6,22,SP
2026-06-23,20.8,13.9,18.1,100,11.7,16.4,323,2026,6,23,SP
2026-06-24,14.9,12.0,13.0,100,13.3,7.0,144,2026,6,24,SP
2026-06-25,12.6,10.7,11.5,100,3.1,10.2,135,2026,6,25,SP
2026-06-26,19.7,11.1,14.7,67,0.8,8.3,96,2026,6,26,SP
2026-06-27,24.2,14.4,17.9,22,0.0,7.0,86,2026,6,27,SP
2026-06-28,25.1,14.7,19.0,0,0.0,11.9,32,2026,6,28,SP
2026-06-29,25.5,16.4,20.2,35,0.1,10.9,341,2026,6,29,SP
2026-06-30,26.0,15.9,19.9,2,0.0,13.1,8,2026,6,30,SP
2026-07-01,26.2,16.6,20.7,0,0.0,12.6,338,2026,7,1,SP
2026-07-02,25.7,15.4,20.1,0,0.0,11.2,333,2026,7,2,SP
2026-07-03,25.4,13.7,18.4,0,0.0,12.8,280,2026,7,3,SP
2026-07-04,18.9,13.0,15.7,4,0.1,10.1,141,2026,7,4,SP
2026-07-05,20.5,12.5,14.6,2,0.0,9.5,130,2026,7,5,SP
2026-07-06,23.9,12.6,16.7,0,0.0,12.6,17,2026,7,6,SP
2026-07-07,19.6,13.4,16.3,98,1.1,13.2,254,2026,7,7,SP
2026-07-08,21.4,13.0,16.0,0,0.0,6.4,132,2026,7,8,SP
2026-07-09,23.2,11.4,16.2,0,0.0,4.3,95,2026,7,9,SP
2026-07-10,25.6,11.2,18.0,0,0.0,12.6,312,2026,7,10,SP
2026-07-11,27.1,11.9,19.5,2,0.0,17.5,330,2026,7,11,SP
2026-07-12,22.4,14.3,17.7,100,4.6,19.1,285,2026,7,12,SP
2026-07-13,17.1,11.7,13.6,69,1.0,11.8,165,2026,7,13,SP
2026-07-14,18.0,9.1,12.5,0,0.0,13.3,119,2026,7,14,SP
2026-07-15,21.6,9.6,14.3,0,0.0,12.0,74,2026,7,15,SP
2026-07-16,24.9,8.9,16.2,0,0.0,9.1,33,2026,7,16,SP
2026-07-17,24.4,12.1,17.5,0,0.0,12.6,4,2026,7,17,SP
2026-07-18,23.7,13.0,17.8,0,0.0,18.8,345,2026,7,18,SP
2026-07-19,25.1,14.2,19.0,0,0.0,19.7,347,2026,7,19,SP
2026-07-20,26.3,15.7,20.4,0,0.0,17.5,348,2026,7,20,SP
2026-07-21,27.2,15.9,21.2,0,0.0,13.6,343,2026,7,21,SP
2026-07-22,27.0,17.3,21.1,0,0.0,12.5,332,2026,7,22,SP
2026-07-23,23.0,15.8,18.7,80,0.9,11.8,225,2026,7,23,SP
2026-07-24,17.2,13.2,15.2,99,2.5,9.8,135,2026,7,24,SP
2026-07-25,19.3,13.9,16.2,38,0.0,10.8,280,2026,7,25,SP
2026-07-26,23.6,12.0,16.8,2,0.0,6.2,16,2026,7,26,SP
2026-07-27,26.7,11.1,18.4,0,0.0,6.7,346,2026,7,27,SP
2026-07-28,27.5,13.8,20.3,0,0.0,13.1,342,2026,7,28,SP
2026-07-29,29.2,15.6,20.7,90,0.8,20.2,329,2026,7,29,SP
2026-07-30,20.9,13.5,16.8,80,0.0,10.8,163,2026,7,30,SP
