Data,Temperatura_maxima,Temperatura_minima,Temperatura_media,Probabilidade_chuva_max,Chuva_total,Velocidade_vento_max,Direcao_vento,ano,mes,dia,estado
2023-01-01,25.6,16.9,21.0,,5.7,17.9,92,2023,1,1,SP
2023-01-02,27.1,17.1,21.6,,2.2,16.1,349,2023,1,2,SP
2023-01-03,25.2,18.3,21.6,,8.8,24.0,326,2023,1,3,SP
2023-01-04,25.6,18.1,21.2,,13.3,23.7,318,2023,1,4,SP
2023-01-05,19.4,16.4,17.3,,20.1,22.0,152,2023,1,5,SP
2023-01-06,19.0,15.7,16.9,,2.0,21.2,140,2023,1,6,SP
2023-01-07,19.8,15.0,17.0,,1.1,21.8,128,2023,1,7,SP
2023-01-08,21.4,14.9,18.0,,0.3,20.7,124,2023,1,8,SP
2023-01-09,22.9,17.4,19.2,,4.9,21.8,123,2023,1,9,SP
2023-01-10,24.7,17.9,20.0,,16.6,17.9,16,2023,1,10,SP
2023-01-11,24.8,17.0,20.4,,3.6,23.9,335,2023,1,11,SP
2023-01-12,25.5,18.6,21.4,,3.2,24.0,323,2023,1,12,SP
2023-01-13,25.6,18.6,21.7,,10.4,28.2,332,2023,1,13,SP
2023-01-14,27.9,19.4,23.2,,1.8,31.1,337,2023,1,14,SP
2023-01-15,29.1,20.0,23.9,,1.4,16.1,341,2023,1,15,SP
2023-01-16,29.2,18.9,23.1,,13.7,13.6,96,2023,1,16,SP
2023-01-17,28.5,20.1,23.0,,5.6,14.4,128,2023,1,17,SP
2023-01-18,27.6,19.1,22.1,,7.6,17.4,125,2023,1,18,SP
2023-01-19,27.1,18.4,21.4,,7.1,16.6,124,2023,1,19,SP
2023-01-20,23.1,18.2,20.4,,19.3,15.3,17,2023,1,20,SP
2023-01-21,25.7,15.9,20.6,,1.6,17.3,292,2023,1,21,SP
2023-01-22,27.2,18.2,22.5,,0.8,19.5,307,2023,1,22,SP
2023-01-23,27.7,18.2,22.2,,17.9,15.5,310,2023,1,23,SP
2023-01-24,26.7,18.4,21.2,,3.0,17.9,240,2023,1,24,SP
2023-01-25,26.8,18.4,21.6,,0.2,19.9,122,2023,1,25,SP
2023-01-26,26.9,16.0,20.8,,0.0,22.4,105,2023,1,26,SP
2023-01-27,27.1,15.0,20.0,,0.6,18.9,110,2023,1,27,SP
2023-01-28,27.3,18.4,22.0,,3.2,13.2,24,2023,1,28,SP
2023-01-29,27.0,18.0,21.9,,9.0,21.9,314,2023,1,29,SP
2023-01-30,25.4,18.3,21.5,,8.7,21.1,328,2023,1,30,SP
2023-01-31,26.8,18.8,22.4,,10.0,22.5,331,2023,1,31,SP
2023-02-01,26.5,19.8,22.3,,8.2,14.5,322,2023,2,1,SP
2023-02-02,27.7,19.0,22.6,,10.2,17.9,326,2023,2,2,SP
2023-02-03,26.5,20.0,22.4,,0.6,24.6,328,2023,2,3,SP
2023-02-04,26.9,19.5,22.1,,7.9,30.3,319,2023,2,4,SP
2023-02-05,26.8,19.8,22.4,,2.5,25.7,310,2023,2,5,SP
2023-02-06,27.1,18.6,21.8,,9.4,19.3,298,2023,2,6,SP
2023-02-07,25.4,17.6,20.5,,25.0,12.9,163,2023,2,7,SP
2023-02-08,25.3,17.8,20.7,,4.5,15.5,122,2023,2,8,SP
2023-02-09,27.5,16.2,21.2,,1.9,15.3,95,2023,2,9,SP
2023-02-10,27.5,18.5,21.7,,18.5,15.2,12,2023,2,10,SP
2023-02-11,24.5,18.3,21.0,,4.6,15.0,352,2023,2,11,SP
2023-02-12,26.0,17.3,21.0,,16.2,22.1,2,2023,2,12,SP
2023-02-13,26.6,18.3,22.0,,3.4,19.3,315,2023,2,13,SP
2023-02-14,27.0,18.3,22.5,,5.0,22.9,314,2023,2,14,SP
2023-02-15,28.6,20.9,23.7,,2.2,26.8,323,2023,2,15,SP
2023-02-16,26.9,20.7,22.9,,3.4,29.6,325,2023,2,16,SP
2023-02-17,28.2,20.3,23.5,,0.4,33.2,330,2023,2,17,SP
2023-02-18,24.1,19.0,21.5,,2.0,27.4,227,2023,2,18,SP
2023-02-19,20.4,17.0,18.4,,44.3,25.4,184,2023,2,19,SP
2023-02-20,27.9,18.1,21.0,,9.9,14.8,113,2023,2,20,SP
2023-02-21,26.4,16.8,21.1,,15.3,20.7,332,2023,2,21,SP
2023-02-22,26.1,18.0,21.0,,3.9,15.3,89,2023,2,22,SP
2023-02-23,26.8,18.7,21.0,,23.7,14.4,95,2023,2,23,SP
2023-02-24,27.3,17.9,21.8,,5.2,20.3,348,2023,2,24,SP
2023-02-25,27.8,19.1,23.0,,1.3,26.1,321,2023,2,25,SP
2023-02-26,28.1,19.4,23.7,,0.6,21.9,318,2023,2,26,SP
2023-02-27,26.3,20.0,22.3,,2.4,21.9,176,2023,2,27,SP
2023-02-28,25.3,19.4,20.9,,15.9,14.6,144,2023,2,28,SP
2023-03-01,26.9,17.8,21.3,,1.0,14.8,99,2023,3,1,SP
2023-03-02,27.8,16.9,21.9,,0.1,15.2,332,2023,3,2,SP
2023-03-03,28.4,19.0,22.8,,2.8,11.8,50,2023,3,3,SP
2023-03-04,26.6,19.6,22.6,,9.9,18.1,337,2023,3,4,SP
2023-03-05,25.4,19.5,21.7,,5.5,26.0,321,2023,3,5,SP
2023-03-06,25.9,17.7,21.2,,9.8,22.7,341,2023,3,6,SP
2023-03-07,26.5,17.8,21.8,,3.6,19.8,355,2023,3,7,SP
2023-03-08,28.3,18.1,22.2,,9.3,14.4,2,2023,3,8,SP
2023-03-09,28.0,18.8,22.4,,8.8,11.8,343,2023,3,9,SP
2023-03-10,27.0,18.5,21.4,,19.9,18.1,99,2023,3,10,SP
2023-03-11,24.3,18.6,20.5,,18.4,17.1,19,2023,3,11,SP
2023-03-12,24.0,18.8,20.6,,14.2,11.6,102,2023,3,12,SP
2023-03-13,25.7,18.8,20.8,,24.9,16.8,75,2023,3,13,SP
2023-03-14,25.7,18.3,21.1,,12.8,14.5,90,2023,3,14,SP
2023-03-15,25.8,18.0,21.1,,1.9,18.8,108,2023,3,15,SP
2023-03-16,26.4,16.0,20.4,,0.3,21.3,112,2023,3,16,SP
2023-03-17,25.6,15.2,19.8,,0.5,17.1,116,2023,3,17,SP
