Data,Temperatura_maxima,Temperatura_minima,Temperatura_media,Probabilidade_chuva_max,Chuva_total,Velocidade_vento_max,Direcao_vento,ano,mes,dia,estado
1982-01-01,26.7,18.3,21.7,,8.9,14.6,64,1982,1,1,SP
1982-01-02,23.4,17.0,19.9,,15.4,23.7,153,1982,1,2,SP
1982-01-03,19.8,16.6,17.7,,2.2,21.3,143,1982,1,3,SP
1982-01-04,20.0,15.1,17.3,,0.4,21.6,141,1982,1,4,SP
1982-01-05,21.7,16.2,18.4,,0.9,19.7,131,1982,1,5,SP
1982-01-06,23.8,16.8,19.6,,2.2,15.5,117,1982,1,6,SP
1982-01-07,24.4,18.4,20.7,,11.2,14.0,121,1982,1,7,SP
1982-01-08,24.0,18.9,20.7,,24.6,12.8,115,1982,1,8,SP
1982-01-09,23.9,19.4,21.4,,7.0,14.0,33,1982,1,9,SP
1982-01-10,23.9,19.6,21.4,,12.0,16.8,348,1982,1,10,SP
1982-01-11,22.3,19.6,21.0,,13.5,21.5,324,1982,1,11,SP
1982-01-12,21.7,18.1,20.1,,3.3,16.6,190,1982,1,12,SP
1982-01-13,24.3,15.4,19.3,,0.0,18.0,153,1982,1,13,SP
1982-01-14,26.4,14.7,19.6,,0.0,13.3,121,1982,1,14,SP
1982-01-15,25.3,17.1,20.7,,0.6,17.4,128,1982,1,15,SP
1982-01-16,26.1,16.7,20.4,,0.2,18.7,125,1982,1,16,SP
1982-01-17,25.5,15.9,20.2,,0.0,17.6,124,1982,1,17,SP
1982-01-18,25.4,16.6,20.1,,0.0,19.2,135,1982,1,18,SP
1982-01-19,22.4,17.5,19.4,,0.5,23.0,140,1982,1,19,SP
1982-01-20,23.1,16.4,19.1,,2.7,20.4,120,1982,1,20,SP
1982-01-21,24.3,16.7,19.6,,5.8,14.5,99,1982,1,21,SP
1982-01-22,26.7,17.2,21.2,,0.8,22.6,336,1982,1,22,SP
1982-01-23,21.6,18.3,19.7,,16.0,14.0,303,1982,1,23,SP
1982-01-24,21.0,17.0,18.6,,0.5,21.4,150,1982,1,24,SP
1982-01-25,21.0,16.0,17.9,,0.0,19.6,128,1982,1,25,SP
1982-01-26,24.3,16.5,19.7,,1.9,15.3,114,1982,1,26,SP
1982-01-27,25.8,17.2,20.9,,1.4,12.5,101,1982,1,27,SP
1982-01-28,25.8,18.5,21.1,,19.5,8.7,99,1982,1,28,SP
1982-01-29,24.3,17.7,20.5,,0.0,12.3,68,1982,1,29,SP
1982-01-30,24.3,18.4,20.9,,3.9,12.0,79,1982,1,30,SP
